Metric,Store,Month-Year,FY,Amount (in lakhs)
Aggregator commission,HSR,May 2021,FY22,3.79
Marketing & advertisement,HSR,May 2021,FY22,0.77
Gross Sales,CVR,May 2021,FY22,
GST,CVR,May 2021,FY22,0.0
Net Sales,CVR,May 2021,FY22,0.0
COGS (food +packaging),CVR,May 2021,FY22,0.0
store Labor Cost,CVR,May 2021,FY22,0.0
Utility Cost,CVR,May 2021,FY22,0.0
Rent,CVR,May 2021,FY22,0.0
CAM,CVR,May 2021,FY22,
Aggregator commission,CVR,May 2021,FY22,0.0
Marketing & advertisement,CVR,May 2021,FY22,
Gross Sales,SJP,May 2021,FY22,22.43
GST,SJP,May 2021,FY22,1.07
Net Sales,SJP,May 2021,FY22,21.36
COGS (food +packaging),SJP,May 2021,FY22,7.75
store Labor Cost,SJP,May 2021,FY22,2.78
Utility Cost,SJP,May 2021,FY22,1.13
Rent,SJP,May 2021,FY22,1.48
CAM,SJP,May 2021,FY22,0.0
Aggregator commission,SJP,May 2021,FY22,4.7
Marketing & advertisement,SJP,May 2021,FY22,0.67
Gross Sales,ORW,May 2021,FY22,9.09
GST,ORW,May 2021,FY22,0.43
Net Sales,ORW,May 2021,FY22,8.66
COGS (food +packaging),ORW,May 2021,FY22,2.68
store Labor Cost,ORW,May 2021,FY22,1.39
Utility Cost,ORW,May 2021,FY22,1.01
Rent,ORW,May 2021,FY22,0.84
CAM,ORW,May 2021,FY22,0.31
Aggregator commission,ORW,May 2021,FY22,1.97
Marketing & advertisement,ORW,May 2021,FY22,0.5
Gross Sales,EST,May 2021,FY22,10.38
GST,EST,May 2021,FY22,0.49
Net Sales,EST,May 2021,FY22,9.89
COGS (food +packaging),EST,May 2021,FY22,3.36
store Labor Cost,EST,May 2021,FY22,1.48
Utility Cost,EST,May 2021,FY22,0.95
Rent,EST,May 2021,FY22,0.71
CAM,EST,May 2021,FY22,0.16
